DATE_READING,YEAR,MONTH,DAY,AREA_NUMBER,ELNINO,LANINA,TOTAL_CAPTURE
20070721,2007,7,21,4,0,0,0
20140322,2014,3,22,4,0,0,0
20121014,2012,10,14,3,0,0,0
20150830,2015,8,30,2,1,0,1
20170731,2017,7,31,2,0,0,0
20120209,2012,2,9,1,0,1,1
20120611,2012,6,11,3,0,0,0
20080404,2008,4,4,4,0,0,0
20080107,2008,1,7,2,0,1,0
20160708,2016,7,8,4,0,0,0
20070221,2007,2,21,2,0,0,1
20061118,2006,11,18,4,1,0,0
20150922,2015,9,22,4,1,0,0
20070513,2007,5,13,1,0,0,0
20131215,2013,12,15,4,0,0,0
20100522,2010,5,22,2,0,0,0
20200523,2020,5,23,3,0,0,0
20100730,2010,7,30,2,0,1,0
20140831,2014,8,31,2,0,0,1
20081208,2008,12,8,4,0,1,0
20160702,2016,7,2,2,0,0,0
20130627,2013,6,27,2,0,0,0
20180413,2018,4,13,2,0,0,0
20090716,2009,7,16,4,0,0,0
20141004,2014,10,4,4,0,0,0
20070717,2007,7,17,2,0,0,0
20160521,2016,5,21,3,0,0,0
20200607,2020,6,7,4,0,0,0
20130908,2013,9,8,2,0,0,0
20091112,2009,11,12,4,1,0,0
20170508,2017,5,8,3,0,0,0
20100623,2010,6,23,2,0,0,0
20160711,2016,7,11,1,0,0,0
20140313,2014,3,13,1,0,0,0
20060219,2006,2,19,2,0,0,0
20130317,2013,3,17,2,0,0,0
20150424,2015,4,24,2,0,0,0
20181009,2018,10,9,2,0,0,0
20130425,2013,4,25,3,0,0,0
20180201,2018,2,1,1,0,1,0
20160402,2016,4,2,4,0,0,0
20150811,2015,8,11,2,1,0,0
20161101,2016,11,1,3,0,0,0
20091118,2009,11,18,4,1,0,1
20181021,2018,10,21,1,0,0,0
20130314,2013,3,14,3,0,0,1
20181101,2018,11,1,2,0,0,0
20141022,2014,10,22,3,0,0,0
20110308,2011,3,8,3,0,1,0
20060113,2006,1,13,3,0,0,0
20090621,2009,6,21,4,0,0,0
20140625,2014,6,25,3,0,0,0
20090309,2009,3,9,2,0,0,0
20090314,2009,3,14,3,0,0,0
20181127,2018,11,27,4,0,0,0
20071125,2007,11,25,2,0,1,0
20160229,2016,2,29,4,1,0,0
20170418,2017,4,18,4,0,0,1
20110125,2011,1,25,1,0,1,0
20141220,2014,12,20,1,0,0,0
20071025,2007,10,25,4,0,1,0
20131012,2013,10,12,3,0,0,0
20130327,2013,3,27,2,0,0,0
20090107,2009,1,7,1,1,0,2
20190827,2019,8,27,3,0,0,0
20141010,2014,10,10,2,0,0,0
20060709,2006,7,9,1,0,0,0
20090503,2009,5,3,3,0,0,0
20130328,2013,3,28,2,0,0,0
20111019,2011,10,19,1,0,1,0
20130204,2013,2,4,3,0,0,0
20200113,2020,1,13,1,0,0,0
20110121,2011,1,21,4,0,1,0
20090918,2009,9,18,4,0,0,0
20070417,2007,4,17,3,0,0,0
20150313,2015,3,13,4,0,0,0
20131223,2013,12,23,2,0,0,0
20080224,2008,2,24,3,0,1,0
20120607,2012,6,7,2,0,0,0
20130815,2013,8,15,2,0,0,0
20090125,2009,1,25,3,1,0,0
20170518,2017,5,18,1,0,0,1
20190424,2019,4,24,4,0,0,0
20060919,2006,9,19,1,0,0,0
20100212,2010,2,12,3,1,0,0
20070713,2007,7,13,1,0,0,0
20141008,2014,10,8,2,0,0,0
20070116,2007,1,16,2,1,0,0
20060717,2006,7,17,1,0,0,0
20080301,2008,3,1,1,0,0,0
20130407,2013,4,7,2,0,0,0
20110804,2011,8,4,2,0,0,0
20060819,2006,8,19,2,0,0,0
20150828,2015,8,28,1,1,0,0
20190302,2019,3,2,3,0,0,0
20090908,2009,9,8,1,0,0,0
20140524,2014,5,24,2,0,0,0
20170702,2017,7,2,2,0,0,0
20080326,2008,3,26,1,0,0,0
20110925,2011,9,25,2,0,0,0
20170625,2017,6,25,1,0,0,0
20070216,2007,2,16,1,0,0,0
20111026,2011,10,26,1,0,1,0
20080922,2008,9,22,3,0,0,0
20190710,2019,7,10,4,0,0,0
20120921,2012,9,21,1,0,0,1
20090421,2009,4,21,2,0,0,0
20090201,2009,2,1,3,1,0,0
20101010,2010,10,10,3,0,1,0
20160925,2016,9,25,3,0,0,0
20190925,2019,9,25,3,0,0,0
20090421,2009,4,21,4,0,0,0
20060419,2006,4,19,4,0,0,0
20130616,2013,6,16,4,0,0,0
20160929,2016,9,29,4,0,0,0
20141023,2014,10,23,3,0,0,0
20070413,2007,4,13,3,0,0,2
20130918,2013,9,18,3,0,0,2
20091202,2009,12,2,1,1,0,0
20140416,2014,4,16,4,0,0,1
20190318,2019,3,18,4,0,0,0
20080416,2008,4,16,2,0,0,0
20121215,2012,12,15,1,0,0,1
20101230,2010,12,30,3,0,1,0
20111119,2011,11,19,2,0,1,0
20140920,2014,9,20,4,0,0,0
20160515,2016,5,15,1,0,0,0
20060323,2006,3,23,3,0,0,0
20141201,2014,12,1,1,0,0,0
20080901,2008,9,1,1,0,0,0
20200128,2020,1,28,3,0,0,0
20171231,2017,12,31,2,0,1,0
20090822,2009,8,22,4,0,0,0
20120123,2012,1,23,2,0,1,0
20131009,2013,10,9,4,0,0,0
20061104,2006,11,4,4,1,0,0
20160203,2016,2,3,1,1,0,0
20180719,2018,7,19,4,0,0,0
20190130,2019,1,30,1,0,0,0
20080207,2008,2,7,2,0,1,0
20060611,2006,6,11,2,0,0,0
20200901,2020,9,1,1,0,0,0
20080426,2008,4,26,4,0,0,0
20180731,2018,7,31,1,0,0,0
20100720,2010,7,20,1,0,1,0
20090604,2009,6,4,2,0,0,0
20111019,2011,10,19,3,0,1,0
20190628,2019,6,28,3,0,0,0
20181224,2018,12,24,1,0,0,0
20061231,2006,12,31,1,1,0,0
20141112,2014,11,12,1,0,0,0
20130205,2013,2,5,3,0,0,0
20110721,2011,7,21,2,0,0,0
20120823,2012,8,23,4,0,0,0
20160808,2016,8,8,2,0,0,0
20081226,2008,12,26,2,0,1,0
20131104,2013,11,4,4,0,0,0
20080108,2008,1,8,3,0,1,0
20180717,2018,7,17,4,0,0,0
20180215,2018,2,15,1,0,1,0
20110225,2011,2,25,2,0,1,0
20191215,2019,12,15,4,0,0,0
20110913,2011,9,13,1,0,0,0
20190430,2019,4,30,3,0,0,0
20200613,2020,6,13,2,0,0,0
20151117,2015,11,17,1,1,0,0
20111202,2011,12,2,1,0,1,0
20090806,2009,8,6,4,0,0,0
20141022,2014,10,22,1,0,0,0
20081202,2008,12,2,3,0,1,0
20100815,2010,8,15,2,0,1,0
20171120,2017,11,20,3,0,0,0
20080826,2008,8,26,3,0,0,0
20111204,2011,12,4,3,0,1,0
20090730,2009,7,30,3,0,0,0
20130418,2013,4,18,3,0,0,2
20140710,2014,7,10,3,0,0,0
20090508,2009,5,8,2,0,0,1
20180906,2018,9,6,3,0,0,0
20080127,2008,1,27,2,0,1,0
20181204,2018,12,4,3,0,0,0
20140906,2014,9,6,4,0,0,0
20070927,2007,9,27,4,0,1,0
20200619,2020,6,19,4,0,0,0
20200823,2020,8,23,4,0,0,0
20171013,2017,10,13,1,0,0,0
20110921,2011,9,21,4,0,0,0
20100523,2010,5,23,4,0,0,0
20200726,2020,7,26,1,0,0,0
20081208,2008,12,8,3,0,1,0
20130410,2013,4,10,4,0,0,0
20160824,2016,8,24,4,0,0,0
20191009,2019,10,9,2,0,0,0
20200713,2020,7,13,2,0,0,0
20200609,2020,6,9,1,0,0,0
20120625,2012,6,25,2,0,0,0
20100707,2010,7,7,4,0,1,0
20061111,2006,11,11,2,1,0,0
20180811,2018,8,11,1,0,0,0
20160419,2016,4,19,4,0,0,0
20070713,2007,7,13,3,0,0,0
20071012,2007,10,12,1,0,1,0
20100128,2010,1,28,4,1,0,0
20121006,2012,10,6,1,0,0,0
20180613,2018,6,13,2,0,0,0
20100126,2010,1,26,3,1,0,0
20181109,2018,11,9,3,0,0,1
20100315,2010,3,15,2,1,0,0
20100109,2010,1,9,4,1,0,0
20191231,2019,12,31,4,0,0,0
20121126,2012,11,26,2,0,0,0
20120424,2012,4,24,2,0,0,0
20110224,2011,2,24,3,0,1,0
20160906,2016,9,6,3,0,0,0
20080711,2008,7,11,2,0,0,0
20191106,2019,11,6,4,0,0,1
20060225,2006,2,25,1,0,0,0
20190425,2019,4,25,2,0,0,0
20121204,2012,12,4,4,0,0,0
20161011,2016,10,11,3,0,0,0
20130911,2013,9,11,4,0,0,0
20060809,2006,8,9,1,0,0,0
20101107,2010,11,7,3,0,1,0
20120324,2012,3,24,4,0,0,0
20081223,2008,12,23,4,0,1,0
20100519,2010,5,19,3,0,0,0
20181207,2018,12,7,2,0,0,0
20141102,2014,11,2,4,0,0,0
20080102,2008,1,2,1,0,1,0
20180416,2018,4,16,3,0,0,0
20110322,2011,3,22,2,0,1,0
20070823,2007,8,23,2,0,1,0
20100215,2010,2,15,1,1,0,0
20081019,2008,10,19,2,0,0,0
20101012,2010,10,12,4,0,1,0
20150506,2015,5,6,2,1,0,0
20170915,2017,9,15,1,0,0,0
20191018,2019,10,18,3,0,0,0
20121107,2012,11,7,3,0,0,0
20070927,2007,9,27,1,0,1,0
20120516,2012,5,16,1,0,0,0
20170306,2017,3,6,1,0,0,0
20170608,2017,6,8,4,0,0,1
20170930,2017,9,30,1,0,0,0
20200226,2020,2,26,4,0,0,0
20070726,2007,7,26,3,0,0,0
20060823,2006,8,23,1,0,0,0
20111223,2011,12,23,2,0,1,1
20141117,2014,11,17,3,0,0,0
20110509,2011,5,9,1,0,0,0
20061029,2006,10,29,2,1,0,0
20070616,2007,6,16,2,0,0,0
20120810,2012,8,10,3,0,0,2
20120311,2012,3,11,4,0,0,0
20180802,2018,8,2,1,0,0,1
20090804,2009,8,4,4,0,0,0
20150405,2015,4,5,3,0,0,0
20060122,2006,1,22,2,0,0,0
20060616,2006,6,16,2,0,0,0
20140614,2014,6,14,1,0,0,0
20181007,2018,10,7,2,0,0,0
20070620,2007,6,20,4,0,0,0
20071221,2007,12,21,3,0,1,0
20060510,2006,5,10,1,0,0,0
20111208,2011,12,8,4,0,1,0
20080217,2008,2,17,4,0,1,0
20100804,2010,8,4,3,0,1,1
20141031,2014,10,31,3,0,0,0
20170830,2017,8,30,1,0,0,0
20131117,2013,11,17,1,0,0,0
20130505,2013,5,5,1,0,0,0
20170719,2017,7,19,4,0,0,1
20191105,2019,11,5,3,0,0,0
20070226,2007,2,26,1,0,0,0
20100104,2010,1,4,1,1,0,0
20110322,2011,3,22,1,0,1,0
20171121,2017,11,21,1,0,0,0
20160115,2016,1,15,4,1,0,0
20181006,2018,10,6,1,0,0,0
20180525,2018,5,25,2,0,0,0
20200423,2020,4,23,3,0,0,0
20110430,2011,4,30,4,0,0,0
20140406,2014,4,6,2,0,0,0
20140915,2014,9,15,4,0,0,1
20061029,2006,10,29,4,1,0,0
20130608,2013,6,8,4,0,0,0
20121210,2012,12,10,3,0,0,0
20150801,2015,8,1,3,1,0,0
20150413,2015,4,13,1,0,0,0
20170522,2017,5,22,1,0,0,0
20110607,2011,6,7,3,0,0,0
20091214,2009,12,14,4,1,0,0
20160402,2016,4,2,3,0,0,0
20200725,2020,7,25,2,0,0,0
20180324,2018,3,24,3,0,0,0
20080714,2008,7,14,4,0,0,0
20141201,2014,12,1,4,0,0,0
20090208,2009,2,8,1,1,0,0
20110816,2011,8,16,3,0,0,0
20111124,2011,11,24,4,0,1,0
20120209,2012,2,9,4,0,1,0
20190102,2019,1,2,2,0,0,0
20100915,2010,9,15,3,0,1,0
20070710,2007,7,10,2,0,0,0
20080723,2008,7,23,4,0,0,0
20110427,2011,4,27,1,0,0,0
20060509,2006,5,9,2,0,0,0
20120923,2012,9,23,2,0,0,0
20170113,2017,1,13,4,0,0,0
20071118,2007,11,18,2,0,1,0
20080531,2008,5,31,2,0,0,0
20081005,2008,10,5,3,0,0,0
20060802,2006,8,2,1,0,0,0
20130130,2013,1,30,4,0,0,0
20081212,2008,12,12,3,0,1,1
20130723,2013,7,23,4,0,0,0
20191227,2019,12,27,2,0,0,0
20131123,2013,11,23,3,0,0,0
20120616,2012,6,16,4,0,0,0
20170420,2017,4,20,4,0,0,0
20070513,2007,5,13,4,0,0,0
20070206,2007,2,6,2,0,0,0
20180306,2018,3,6,2,0,0,0
20150427,2015,4,27,2,0,0,0
20111224,2011,12,24,4,0,1,0
20160731,2016,7,31,2,0,0,0
20080210,2008,2,10,1,0,1,0
20110511,2011,5,11,4,0,0,0
20110312,2011,3,12,3,0,1,0
20070602,2007,6,2,3,0,0,0
20130331,2013,3,31,4,0,0,0
20171211,2017,12,11,1,0,1,0
20200205,2020,2,5,3,0,0,4
20100306,2010,3,6,1,1,0,0
20070304,2007,3,4,4,0,0,0
20060117,2006,1,17,4,0,0,0
20110526,2011,5,26,4,0,0,0
20170422,2017,4,22,4,0,0,0
20171009,2017,10,9,3,0,0,0
20080103,2008,1,3,4,0,1,0
20110728,2011,7,28,4,0,0,0
20080213,2008,2,13,4,0,1,0
20150805,2015,8,5,1,1,0,2
20061009,2006,10,9,4,1,0,0
20150412,2015,4,12,4,0,0,0
20171113,2017,11,13,4,0,0,1
20141025,2014,10,25,3,0,0,0
20091015,2009,10,15,3,0,0,0
20110718,2011,7,18,3,0,0,0
20150705,2015,7,5,2,1,0,0
20190223,2019,2,23,4,0,0,0
20120114,2012,1,14,3,0,1,0
20061202,2006,12,2,2,1,0,0
20160830,2016,8,30,3,0,0,0
20150511,2015,5,11,2,1,0,0
20170418,2017,4,18,3,0,0,0
20071022,2007,10,22,4,0,1,0
20150125,2015,1,25,1,0,0,0
20180413,2018,4,13,1,0,0,0
20180430,2018,4,30,3,0,0,0
20200508,2020,5,8,2,0,0,0
20170708,2017,7,8,3,0,0,0
20120615,2012,6,15,2,0,0,1
20090603,2009,6,3,1,0,0,0
20070501,2007,5,1,2,0,0,0
20151001,2015,10,1,3,1,0,0
